x1,x2,y
8.901740795,-0.259148192,0
1.988904974,3.235846051,0
13.76144036,0.189008612,0
8.991809193,-0.291730773,0
7.111311147,2.912358238,0
11.1616743,-1.550019359,0
13.27795459,2.022688685,0
4.707734575,2.234394979,0
25.64977641,2.438659039,1
18.29072224,0.934001668,1
5.817838248,-1.760017644,0
-1.641111079,2.862944199,0
12.84057321,1.495251813,0
11.62971535,-0.616103391,0
18.8120365,2.184638821,0
14.37490448,3.202941871,1
6.726787837,2.717229661,0
3.719719687,3.753426972,0
-13.98425026,3.189135538,0
9.173939642,-0.002222195,0
12.94245594,2.89614163,0
4.846884137,-0.700241262,0
11.09583837,1.415806555,0
4.858985938,1.639558958,0
6.609034398,-1.115501423,0
11.07533096,-1.454656228,0
2.476188701,5.013051541,0
15.91824728,1.622145764,0
18.8120365,3.387597895,0
13.02229544,1.427984351,0
6.548881031,-0.556812449,0
-0.796256419,-0.383368526,0
-3.012027148,4.025383652,0
12.69481913,4.181324106,0
5.828705183,0.387810727,0
0.819238738,-0.486553967,0
-0.744499599,-1.898818335,0
11.48533504,-1.644972696,0
16.21354411,2.824727895,0
2.269391712,1.485865669,0
11.65655548,1.446930345,0
10.80748479,3.023684405,0
11.3761637,1.887527727,0
7.35504092,0.83239341,0
0.043244515,2.086502771,0
12.07623008,4.200280391,0
20.77931658,1.434380626,0
5.232504111,1.501517872,0
7.675854307,2.290228805,0
6.358822865,1.477565894,0
3.615001714,1.108145979,0
9.781311872,3.607271248,0
6.726787837,3.387002449,0
3.417112953,-0.258013855,0
17.27686047,2.530520276,0
8.145047953,4.211202913,0
3.417112953,-1.817499216,0
11.92412638,-1.227373118,0
8.357051323,0.605183576,0
0.768501364,2.425405565,0
8.309867232,2.731370482,0
13.28243277,-0.32547344,0
11.1616743,-2.541044429,0
9.2554346,4.134426087,0
-2.168687069,2.382938706,0
8.855747283,4.014767183,0
7.324600974,0.76090017,0
11.81569829,2.007277987,0
1.780759676,-0.059446289,0
3.566764567,-1.506528645,0
7.875079375,4.82811852,0
5.677787453,3.178712036,0
-0.771234017,-1.213451031,0
0.878383934,3.239682738,0
3.525321347,0.090882055,0
10.86904778,4.524974374,0
6.548881031,-0.17953769,0
14.94567222,4.958791352,0
21.07378312,2.313292537,1
3.292587563,-0.450473315,0
10.88273386,-1.126666434,0
6.940639754,4.185275365,0
12.62200237,-0.369913992,0
12.69481913,-1.476730925,0
22.87082669,0.733883593,1
9.876661323,-2.141968699,0
-3.615359611,1.933178673,0
-4.051009866,3.823561878,0
15.30027025,3.148316103,0
8.389344272,-0.725315853,0
6.458506261,-0.416398036,0
-0.771234017,2.394688891,0
5.226087188,5.270293628,0
11.65655548,-0.917151364,0
16.80067274,-1.803240449,0
7.098245605,3.234126171,0
8.885372914,0.342415942,0
5.644166573,-0.661446254,0
7.364872319,-2.182249543,0
7.468520379,-0.973952872,0
2.970471472,-0.296929379,0
-0.766843137,-0.784686828,0
22.72525527,1.163254163,1
3.010131939,-2.536826675,0
-2.168687069,2.578134561,0
18.33499886,-1.810848512,0
10.87880143,1.81403058,0
7.464906537,-0.630863323,0
-10.3786451,2.572740373,1
6.941709197,-1.093373459,0
-3.057161068,1.45735023,1
2.392300971,-1.20372233,0
-2.630971479,-2.287760094,0
6.98666914,1.534895381,0
9.899940462,4.120408398,0
-0.339195922,0.132855608,0
1.830146491,-0.751802374,0
15.90767937,2.708063784,0
10.88273386,-1.852636213,0
10.34021366,-0.021863833,0
18.60188524,0.384139606,0
16.23449273,2.25941197,0
13.06114644,4.483031976,0
